Reporting Date;Marketing Team;Marketing Program;# Prospects;# Marketing Qualified Prospects;# Demo Prospects;# Sales Qualified Opportunities;# Opportunities Won;$ Cost;# Impressions;# Clicks
30/06/2025;content;content;46;108;20;20.6;10.2;$0;0;0
30/06/2025;paid;paid_social;175;549;23;21;3;$160,756;16922079;51228
30/06/2025;website;website;99;105;42;9;0;$0;0;0
30/06/2025;lifecycle;prospect_email;22;8;8;1.8;5;$0;0;0
30/06/2025;lifecycle;customer_braze_communications;0;0;0;0;0.9;$0;0;0
30/06/2025;paid;paid_search;131;264;76;32;3;$201,975;1035610;63405
30/06/2025;paid;listicle_leadbuy_listing;30;32;11;2;3;$120,972;1239048;1200
30/06/2025;paid;paid_brand_search;68;38;31;24;21;$338,792;54598;9442
30/06/2025;lifecycle;website;0;0;0;0;0;$0;0;0
30/06/2025;social;social;3;1;0;3.4;0;$0;0;0
30/06/2025;content;webinar;3;1;0;0;0;$0;0;0
30/06/2025;lifecycle;regional;0;0;0;0;0;$0;0;0
30/06/2025;regional;regional;15;2;6;0;0;$0;0;0
30/06/2025;event;event;207;18;48;14;0;$0;0;0
30/06/2025;paid;abm;2;0;1;0;0;$8,645;157955;396
30/06/2025;paid;paid_sponsorship;32;81;0;0;0;$7,606;7983;2172
30/06/2025;paid;paid_awareness;0;0;0;0;0;$68,015;810523;1380
29/06/2025;content;webinar;0;0;0;0;0;$0;0;0
29/06/2025;paid;paid_sponsorship;9;6;0;0;0;$0;0;0
29/06/2025;paid;listicle_leadbuy_listing;6;6;1;4;0;$12,106;267894;113
29/06/2025;lifecycle;website;0;0;0;0;0;$0;0;0
29/06/2025;paid;paid_search;21;22;0;3;0;$75,361;229317;9068
29/06/2025;content;content;9;16;2;0;2;$0;0;0
29/06/2025;paid;paid_social;212;675;1;0;0;$145,048;5355940;23957
29/06/2025;event;event;0;465;0;0;0;$0;0;0
29/06/2025;lifecycle;regional;0;0;0;0;0;$0;0;0
29/06/2025;website;website;30;39;0;0;0;$0;0;0
29/06/2025;paid;abm;0;0;0;0;0;$12,993;464880;784
29/06/2025;lifecycle;customer_braze_communications;0;0;0;0;0;$0;0;0
29/06/2025;paid;paid_awareness;0;0;0;0;0;$44,605;391460;1215
29/06/2025;social;social;0;0;0;0;0;$0;0;0
29/06/2025;lifecycle;prospect_email;8;4;0;0;0;$0;0;0
29/06/2025;paid;paid_brand_search;6;4;0;6;1;$32,702;6688;1754
29/06/2025;regional;regional;6;0;0;0;0;$0;0;0
28/06/2025;paid;paid_awareness;0;0;0;0;0;$14,301;380451;1332
28/06/2025;event;event;0;3;0;0;0.6;$0;0;0
28/06/2025;lifecycle;customer_braze_communications;0;2;0;0;0.8;$0;0;0
28/06/2025;social;social;0;0;0;0;0;$0;0;0
28/06/2025;paid;paid_social;218;230;0;0;0;$81,602;3336301;30208
28/06/2025;lifecycle;regional;0;0;0;0;0;$0;0;0
28/06/2025;lifecycle;prospect_email;2;6;0;0;0;$0;0;0
28/06/2025;paid;paid_search;16;20;0;0;0;$60,465;384336;7216
28/06/2025;paid;paid_sponsorship;0;0;0;0;0;$0;0;0
28/06/2025;website;website;5;12;0;0;0;$0;0;0
28/06/2025;paid;paid_brand_search;21;24;0;0;0;$51,223;15147;1610
28/06/2025;content;webinar;0;0;0;0;0;$0;0;0
28/06/2025;paid;abm;0;0;0;0;0;$23,509;490914;1083
28/06/2025;regional;regional;108;9;0;0;0;$0;0;0
28/06/2025;lifecycle;website;0;0;0;0;0;$0;0;0
28/06/2025;paid;listicle_leadbuy_listing;0;0;2;0;0;$6,294;154298;150
28/06/2025;content;content;48;20;0;0;0;$0;0;0
27/06/2025;event;event;14;0;7;8;0;$0;0;0
27/06/2025;paid;abm;0;0;0;0;0;$9,632;330870;402
27/06/2025;paid;paid_sponsorship;2;4;0;0;0;$22,889;21292;928
27/06/2025;paid;paid_search;274;204;135;22;4;$333,315;1723932;67221
27/06/2025;regional;regional;7;0;2;2;0;$0;0;0
27/06/2025;paid;paid_social;378;278;40;10.5;0;$211,240;12773146;51768
27/06/2025;content;content;35;50;13;9;9;$0;0;0
27/06/2025;social;social;0;0;3;3;0;$0;0;0
27/06/2025;website;website;18;60;27;0;0;$0;0;0
27/06/2025;paid;listicle_leadbuy_listing;14;9;4;7.5;0;$26,432;957308;136
27/06/2025;content;webinar;3;0;0;0;0;$0;0;0
27/06/2025;lifecycle;website;0;0;0;0;0;$0;0;0
27/06/2025;lifecycle;customer_braze_communications;0;12;0;0;0;$0;0;0
27/06/2025;lifecycle;prospect_email;8;3;12;5;2;$0;0;0
27/06/2025;lifecycle;regional;0;0;0;0;0;$0;0;0
27/06/2025;paid;paid_awareness;0;0;0;0;0;$14,539;776052;1282
27/06/2025;paid;paid_brand_search;72;96;48;48;5.5;$96,972;21004;10581
26/06/2025;event;event;146;4;27;2;0;$0;0;0
26/06/2025;website;website;80;90;24;2;0;$0;0;0
26/06/2025;regional;regional;182;730;4;0;0;$0;0;0
26/06/2025;paid;paid_search;426;230;31;42;4;$421,494;2038506;21671
26/06/2025;paid;paid_awareness;0;0;0;0;0;$14,860;1235925;2744
26/06/2025;paid;paid_social;291;381;27;16.5;1;$157,691;14066470;26518
26/06/2025;lifecycle;prospect_email;18;24;6;12;0;$0;0;0
